小区,count,lng,lat,上线时间,户型数量,区,地段,地址
正荣璟园,24000,121.02678999999999,30.904403000000002,2017-05-14,5,金山,枫泾,"枫湾路660弄,枫湾路680弄"
绿都·绣云里,69571,121.71728200000001,31.114845000000003,2017-08-11,1,浦东,川沙,崇溪路111弄
天健萃园,23000,121.81385700000001,30.961746,2017-09-19,6,浦东,临港新城,祥凯路2013弄
恒大花逸,30000,121.036497,31.139403,2017-05-06,16,青浦,朱家角,淀山湖大道3600弄
碧云壹零,26000,121.90611000000001,30.909195,2017-09-06,8,浦东,临港新城,竹柏路758弄
金地都会艺境,38000,121.352245,31.082085,2017-05-06,7,松江,新桥,陈春公路677弄
御岛财富公馆,35000,121.70468531212,31.396961046453,2014-11-29,8,崇明,长兴岛,凤蓉路455弄（长兴派出所旁）
圣和静安公馆,110000,121.48732199999999,31.25272,2016-06-07,5,静安,西藏北路,山西北路388弄
金地世家,44000,121.26633569203001,31.332407992066003,2017-09-21,6,嘉定,嘉定新城,合作路199弄
万业紫辰苑,40000,121.444699,31.405659999999997,2017-09-02,1,宝山,杨行,江杨北路1568弄
同济东时区,87777,121.753947,31.153528,2018-04-10,6,浦东,祝桥,"航城三路288弄,航城四路318弄"
新城上坤樾山明月,68151,121.24241299999998,31.105844,2018-12-31,7,松江,佘山,洞坤路168弄
禹洲府,45000,121.38568400000001,31.027447,2017-06-27,2,闵行,马桥,富国路199弄
浦发罗兰翡丽,66000,121.67998999999999,31.232574,2016-11-15,9,浦东,唐镇,玉盘北路281弄
融创香溢花城三期香溢天地,98000,121.441014,31.261951,2017-04-04,4,普陀,光新,石泉东路215弄
正荣国领,40000,121.375009,31.413737,2017-05-28,4,宝山,罗店,抚远路1211弄（近美诺路路口）
佳兆业君汇上品,29500,121.20134399999999,31.202714,2017-09-09,4,青浦,重固,崧建路339弄
佘山御庭,57627,121.198194,31.104778999999997,2016-11-02,9,松江,佘山,外青松公路9211号
中国铁建香榭国际,37800,121.44522099999999,30.993021999999996,2017-12-12,8,奉贤,西渡,西闸公路与扶兰路交汇处
长城逸府,30578,121.03763300000001,30.904386,2017-05-20,7,金山,枫泾,白牛路1068弄
景瑞城中公园,42000,121.122446,31.164782000000002,2016-12-19,2,青浦,青浦新城,城中北路588弄
融创·浦建路727,75000,121.53751614282,31.214267410737,2016-10-01,3,浦东,塘桥,浦建路727号（近杨高南路）
东滩花园,40000,121.84536100000001,31.461477000000002,2017-11-15,4,崇明,陈家镇,揽海路1号
禹洲东滩雍禧,35000,121.81480900000001,31.499307,2017-02-05,9,崇明,陈家镇,北陈公路1568弄
澜庭,20000,121.32167491058998,30.838857966735002,2016-12-30,3,金山,金山中部,博海路118弄（近夏宁路与博海路交叉口）
嘉兴金地都会艺境,14000,120.81451499999999,30.676935999999998,2017-10-20,2,上海周边,嘉兴,余新镇渔里街与新昌路交叉口（余新镇镇府旁）
宝业爱多邦,41000,121.16139199999999,31.150659,2018-12-31,4,青浦,青浦新城,崧淀二路99弄
远香湖九号,38000,121.27136899999999,31.351778999999997,2016-07-02,8,嘉定,嘉定新城,宝塔路99弄
M旭辉城M-CITY,18600,120.95927668773999,30.913371081631,2017-12-30,3,上海周边,嘉善,姚庄大道兴学路路南侧300米
泰禾红桥,41000,121.15805867946001,31.151052949727998,2017-05-07,5,青浦,青浦新城,青湖东路555弄
