小区,count,lng,lat,上线时间,建筑类型,价格类型,显示价格,户型数量,区,地段,地址,ID
嘉里不夜城,30000,121.46340982254999,31.25082956967,2010-06-28,,均价,均价,2,静安,上海火车站,天目西路218号,424441
远洋鸿郡,98901,121.372972,31.404983,2015-10-17,独栋别墅，联排别墅,总价,总价,5,宝山,罗店,抚远路699弄,252974
中建锦绣天地,90000,121.29228032902999,31.19019649175,2017-03-15,,均价,均价,4,青浦,徐泾,蟠中东路1899,416560
同润蓝美俊庭,37500,121.753193,30.967571000000003,,叠加别墅，高层,总价,总价,5,浦东,惠南,南芦公路989弄,249106
祥和王宫,85763,121.393096,31.288594,2014-11-21,独栋别墅，双拼别墅,总价,总价,4,普陀,真如,古浪路391弄,252953
华山夏都苑,130000,121.43754399999999,31.2134,2016-04-27,高层,均价,均价,2,长宁,其他,幸福路211弄,423084
上海青浦万达茂商铺,40000,121.08920781831002,31.140114968076,2018-02-20,,均价,均价,0,青浦,青浦新城,淀山湖大道851号,432935
华泰中心,35000,121.32659,31.244131,2016-10-03,,均价,均价,0,嘉定,江桥,金运路355号（金运路与鹤旋路交汇处 ）,400602
移动智地,16000,121.17982840741001,31.153416603948997,2014-03-31,,均价,均价,0,青浦,青浦新城,沪青平公路3938弄,250374
御景龙庭商铺,15000,121.33041036597,30.738558989827,2013-12-04,,均价,均价,0,金山,金山新城,学府路818弄（近金山大道）,432050
尚品华庭,38300,121.323742,31.213167,2018-01-15,,均价,均价,0,闵行,华漕,申虹路928弄,415422
嘉一智汇,16000,121.180543,31.153727000000003,2014-03-31,,均价,均价,0,青浦,青浦新城,沪青平公路3938号,401224
北创匯公館,16000,121.583036,31.184694,2017-12-15,,总价,总价,0,浦东,北蔡,五星路883号,401159
嘉业海悦,21300,121.53991699999999,30.828888,2015-07-23,独栋别墅，小高层,均价,均价,5,奉贤,海湾,海马路2155弄,228603
吉陆广场,40000,121.28287406487,31.327080330818,2017-06-01,,均价,均价,0,嘉定,马陆,崇教路19号,416858
理想未来中心商铺,20000,121.46441100000001,30.916355,2011-05-31,,均价,均价,0,奉贤,南桥,江海路388弄近南奉公路,426315
金山工商联大厦,19000,121.352473,30.752421000000002,2016-03-10,,均价,均价,0,金山,金山新城,龙山路295弄,412320
蓝堡公馆商铺,29000,121.36096249519,30.737804171182,2011-12-01,,均价,均价,0,金山,金山新城,卫清东路2961号,410667
上坤·上街,40000,121.34988231008002,31.425844377623,2015-11-15,,均价,均价,0,宝山,罗店,塘西街299弄,298389
保亿风景水岸,27960,121.81973700000002,31.471234000000003,2015-05-10,独栋别墅，联排别墅，双拼别墅,总价,总价,9,崇明,陈家镇,揽海路169弄,215348
祥腾·东平森林1号,32000,121.479918,31.681362,2015-05-01,,均价,均价,0,崇明,崇明新城,建设镇20-014街道0009街坊（北沿公路与虹富路交汇处）,426234
百联崇明商业广场,26000,121.42239599999999,31.631210999999997,2015-11-28,,均价,均价,0,崇明,崇明新城,城桥镇翠竹路2377号 （崇明大道鼓浪屿路交汇处）,252396
圣坤国际,26000,121.31089983663,30.736755417873997,2015-07-11,,总价,总价,0,金山,金山新城,金山大道4168号（近卫宏路）,424077
嘉誉国际广场,35000,121.51511599999999,31.33502,2014-03-29,,均价,均价,0,杨浦,新江湾城,淞沪路1660号（近殷行路）,413258
市北新中新,40000,121.46501,31.30247,2014-02-01,,均价,均价,0,静安,大宁绿地,寿阳路99弄,413289
上海两港装饰城,20000,121.71698899999998,31.082340999999996,2017-06-30,,均价,均价,0,浦东,惠南,南六公路675、725、775号,410760
近铁城市广场,45000,121.38876025645,31.238516081599002,2013-12-28,,均价,均价,0,普陀,长风,普陀金沙江路1518弄2号（近真北路）,413262
总部1号,23000,121.426502,31.080251,2007-01-24,,均价,均价,0,闵行,颛桥,都会路2338号（靠近颛兴路）,413322
东张江1号,30000,121.733672,31.240717999999998,2015-12-01,,均价,均价,0,浦东,川沙,环庆中路389、399号,410934
东方慧谷,30000,121.29761676247,31.339070293595,2011-12-01,,总价,总价,0,嘉定,嘉定新城,宝安公路2999号,420639
山鑫城市广场,16800,121.35269690583999,30.735404147095,2007-11-02,,均价,均价,0,金山,金山新城,卫清西路139-149号,413274
七莘红点城,38000,121.35046584811,31.169792550957,2017-11-25,,均价,均价,0,闵行,七宝,七莘路1809弄,432060
中关村虹桥中心,38500,121.356677,31.236138,2015-11-08,,均价,均价,0,长宁,虹桥路,临空经济园区金轮路临虹路,413318
名企公馆,12000,121.29151816449,31.074449118131,2015-12-12,,均价,均价,0,松江,新桥,泗砖南路255弄(卖新公路与泗砖南路交汇处),413268
禹洲金桥国际商铺,40000,121.620228,31.260724,2013-01-17,,均价,均价,0,浦东,金桥,金豫路50弄,410910
融创外滩188,78000,121.50180890998999,31.258497735359,,,均价,均价,0,虹口,北外滩,虹口区东余杭路333号,437511
圣太企业园,20000,121.57862462826999,31.101100428343,2009-01-09,,均价,均价,0,浦东,航头,建豪路99号,414277
长兴海洋科技港,8300,121.76041699999999,31.362744,2015-08-22,,均价,均价,0,崇明,长兴岛,江南大道1333号,423017
璟储新和湾,17000,121.33711213132,31.456800147409,2015-04-18,,均价,均价,0,宝山,罗泾,沪太路8399弄,420845
韩村路商业街,30000,121.46917190091999,30.946524281261002,2011-11-10,,均价,均价,0,奉贤,南桥,韩村路498号,432260
当代万国府MOMA,80000,121.436278,31.017913,2016-12-25,,均价,均价,0,闵行,江川路,沧源路588弄,415775
绿地海语墅,11000,121.51749932272,30.832421444101,2013-08-01,,均价,均价,0,奉贤,海湾,奉贤区海马路5888号,437239
国信世纪海景,1010101,121.52028700000001,31.217846999999995,2011-05-28,高层,总价,总价,3,浦东,塘桥,浦明路1288弄,239896
禹洲城市广场,21000,121.87424986851002,30.981508969963002,2017-09-30,,均价,均价,0,浦东,临港新城,首善街759弄,415321
