小区,房屋数量,count,均价变动,lng,lat,地址,ID
梅湘园,2,10000,,120.830407,30.803162,灵湖东路857号,1024165
太湖花园,3,10526,-0.047335,120.108034,30.901814,太湖路699号,939142
旺角维多利亚花园,1,12400,0.272839,119.911700,31.025707,花菇山路,939560
春馨园D区,1,11607,-0.151473,120.567058,31.334883,春馨园路，近鹿山路,885354
丁香花园,6,8461,-0.032807,120.941928,30.858361,施家北路378号,941370
阳光世纪花园,85,10347,-0.016819,120.987280,31.401060,长江北路99号,884250
宝带一村,1,18518,0.113530,120.647454,31.272766,宝带东路,887437
水晶湖畔,27,13840,0.051911,120.906704,31.091494,张元东路2号,465974
海韵江南,1,13461,0.201553,120.918111,30.517462,环城南路，近楞港路,1010355
南石皮弄小区,1,40476,0.181850,120.641923,31.302156,南石皮弄,886209
浦东街40号小区,1,11866,0.075208,120.951352,31.291853,浦东街40号,989794
晴湾佳苑,3,12432,-0.001205,120.722802,30.755420,文昌路1299号,798052
秀水人家,22,6470,-0.314619,120.766418,30.775922,青龙街42号,890062
诚恒世嘉,3,7954,-0.103977,120.725440,30.890953,北虹东路129号,1012472
皇冠花苑,4,8099,-0.058694,120.773082,30.754569,菱香路34号,889832
苏通壹号公馆,2,11442,,120.895910,31.959978,江安路66号,917633
尚品公馆,56,8620,-0.015645,120.838711,30.578030,大洋东路8号,793572
新城海上风华,32,10933,-0.199810,120.926520,30.827400,世纪大道，近车站南路,952781
嘉城绿都秋菊苑,1,10555,,120.789067,30.779465,宜城路,889858
东方花园,1,4230,,120.590042,32.401666,中山东路,918283
新怡花园,1,21250,,120.527884,31.271529,金山路,887898
都谷花苑,3,8333,0.205759,120.685611,30.546365,文苑路650号,890536
龙泽园,8,11204,0.140472,120.721008,30.872776,闻川路,795318
公园道1号,120,11957,0.022665,120.699142,30.499960,江南大道，近海昌南路,892056
创业公寓,91,11053,-0.034629,120.784988,30.775423,创业路,889734
金凤城(别墅),11,10756,-0.032212,120.805030,30.337892,凤凰路38号,917183
万城理想公馆,74,10526,0.023333,120.667362,30.531750,硖仲路，近双联路,917054
钱江君庭(北区),1,10453,,120.567984,30.408870,中新路79号,914291
万城明月公馆,40,9702,-0.013423,120.669092,30.522085,广顺路，近联合路,917184
花苑新村,47,11767,0.019848,120.521679,31.265741,花苑街,887764
中天观庭,17,7096,-0.017855,120.395605,31.954593,镇山路，近长江西路,889640
海德公寓,2,5000,-0.309488,120.563980,30.627280,梧丰路511号,992994
梅园新村,1,10631,,120.592495,30.979081,下塘街,887224
观湖壹号,1,15055,0.021509,120.910478,31.410700,萧林西路,883495
富康苑,1,15217,-0.044398,120.792413,31.634344,香榭路18号,884816
铂金府邸,42,13200,0.154452,120.809590,30.745707,中港路619号,797985
森隆满园,1,10204,-0.012866,120.935652,31.293709,京东路,883993
中南世纪新城,1,15151,0.182471,120.920737,31.991142,观新路，世伦路,917608
盈都江悦城,1,9144,-0.073650,120.405081,30.345972,春潮路,892180
大树花园(东区),7,8125,-0.050485,120.718930,30.767443,蓬莱路61号,890180
绿杨一村,1,9740,0.136390,120.669124,30.898474,绿杨路,887312
耀城广场,1,10312,0.029142,120.736189,30.764976,中山东路,890078
凤凰名邸,19,9322,-0.003314,120.951314,30.586988,盐佳路,1010371
摩卡小镇,4,12000,-0.027710,120.966796,31.439740,紫竹路,883895
金汇智博广场,3,7800,-0.108775,120.934809,30.514062,百尺南路,890510
东茂商业广场,172,10877,0.005082,120.647267,30.909754,舜湖西路，近西环路,887365
金凤凰小区,2,13333,0.046711,120.971069,31.385457,集街21号,883691
吉水花园,2,11011,0.346253,120.744411,30.760323,吉水路341号,889837
左岸香颂,2,20500,-0.017682,120.770085,31.344601,钟南街388号,888638
沁园,16,31818,-0.001726,120.951045,31.417066,水秀路1209号,884553
景湖花园,104,12688,0.264375,120.803560,30.760243,云东路62号,889890
祥生玖熙花苑,755,11375,-0.025446,120.763161,30.716403,新气象路,890153
放鹤洲花园(南区),1,17115,,120.747323,30.748178,望鹤路99号,889773
嘉辉Loft公馆,145,9505,0.024300,120.789773,30.774693,湘溪路76号,927331
领御,1,6375,-0.284913,120.980157,31.388412,前进中路283号,883819
丽都名苑,1,6842,0.023026,120.394963,30.954509,新村二路,887192
巴比伦国际广场(商住楼),11,14285,-0.016997,120.959108,31.366679,人民南路998号,946585
国际华城,425,12689,-0.003064,120.984394,31.092741,沪青平公路7502号,862559
大华城市花园,4,11000,0.002369,120.760840,30.741471,会展路257号,889742
海盐金色江湾,760,11625,-0.024912,120.961207,30.546897,新桥北路,1010370
商盛秋居(南区),1,8823,-0.198346,120.936098,30.863089,谈公北路,890410
三千邑,8,13861,0.130905,120.673633,31.183751,江陵东路689号,887039
华玉佳苑,1,11235,,120.797802,30.789472,鸣羊路,890207
爱丁堡,2,11214,0.000244,120.733544,31.489701,湘太路98号,889179
